Date / Time,City,State,Shape,Duration,Summary,Posted
8/11/16 21:20,New York City (Brooklyn),NY,Triangle,6 minutes,"My boyfriend and I saw two V-shaped objects flying slowly with no sound in Brooklyn, NY. ((anonymous report))",42598
8/11/16 09:10,Antioch,CA,Triangle,3-4 minutes,Me & fiance noticed a bright light sitting for a long period of time as if it was a star. ((anonymous report. Star??)),42598
8/11/16 01:20,Anchorage/Eagle River (between),AK,Triangle,2 minutes,Midnight adventure car ride to the top of a mountain greeted by something beyond this earth?,42598
8/11/16 01:00,Morse Mill,MO,Triangle,2 hours,I seen a triangle light changing gree to blue to white. See it strait to the N toward st louis. Video.,42598
8/10/16 22:00,Home,PA,Triangle,2 seconds,Layers of illuminating green light in the shape of a triangle moving very fast toward the ground. ((Meteor??)),42598
8/10/16 21:30,Johnson City,TN,Triangle,,Flashing stationary triangles which are not stars,42598
8/10/16 11:20,Lafayette,CO,Triangle,30-60 seconds,Noticed a triangle object flying from Broomfield area to Boulder. ((anonymous report)),42598
8/9/16 23:50,Conway,SC,Triangle,Still out there,"((HOAX??)) Odd blinking lights, 3 in a shape of a triangle, and one dull but bright orange sphere shaped light.",42598
8/9/16 22:37,Atlanta,GA,Triangle,20 minutes,Triangular shaped cluster resembling Stars,42598
8/9/16 21:50,Pearl City,HI,Triangle,1 minute,Triangle aircraft with a bright red marker light blinking.,42598
8/8/16 22:00,Washington,DC,Triangle,ongoing,There are 3 lights in the DC sky that are stationary and forming a triangle.,42598
8/8/16 22:00,Washington,NJ,Triangle,1 hour,SAW A LARGE TRIANGULAR CRAFT AND OTHER SMALLER ROUND CRAFT IN THE SKY. LIKELY NOT OF THIS EARTH.,42598
8/8/16 08:00,Las Vegas,NV,Triangle,<10 seconds,Object observed from flight from Las Vegas to Vancouver. ((NUFORC Note: Nice photo of approaching B2 bomber. PD)),42598
8/7/16 04:09,College Park,MD,Triangle,20 minutes,"Two triangle UFOs were spotted, one followed a commercial plane for a few seconds.",42598
8/7/16 01:12,Los Banos,CA,Triangle,2-5 minutes,"Triangle shape, with 3 lights.",42601
8/6/16 23:00,Dresden (near),OH,Triangle,45-60 minutes,((HOAX??)) Boy scout road UFO sighting.,42611
8/6/16 11:30,Glendale,CA,Triangle,60 seconds,"Huge black triangular UFO seen over Los Angeles, CA, at 11:30 AM, August 06, 2016.",42598
8/5/16 21:00,New Hope,PA,Triangle,Several minutes,Three triangular shaped crafts with bright orange lights,42598
8/4/16 22:50,Del Valle,TX,Triangle,2 seconds,Triangular blue aircraft seen leaving/darting from commercial airplane at night.,42598
8/3/16 22:55,Englewood,OH,Triangle,2 minutes,"I observed a triangle, lighted object hovering.",42586
8/3/16 22:00,Lake Mills,WI,Triangle,2 minutes,"Three bright white lights, and one blinking red light in the shape of a triangle.",42586
8/3/16 00:20,Saylorsburg,PA,Triangle,,"Red white and yellow lights, moving erratically. ((anonymous report))",42586
8/2/16 03:25,Austin,TX,Triangle,,I noticed a couple of lights out in the distance I couldn't tell what it is. ((anonymous report)),42598
8/2/16 01:30,Houston,TX,Triangle,5 minutes,"Witnessed three white lights in triangle formation move in the sky unlike any other ""flying object.""",42615
8/1/16 19:27,Dubuque,IA,Triangle,6-7 minutes,"1000 yards alt, triangular (large) floated over home traveling west to due East-complete w/ lights. Was silent.",42615
8/1/16 17:00,Mayo (Canada),YT,Triangle,11 seconds,White triangle with speed of a modern jet. Sky cracked open. ((anonymous report)),42598
7/31/16 15:30,Germantown,MD,Triangle,5-7 minutes,"Black hovering triangle in Germantown, MD",42584
7/30/16 22:45,St. Germain,WI,Triangle,3 seconds,Two fast moving triangular shaped objects.,42584
7/30/16 22:45,Lancaster,NY,Triangle,5 minutes,Four triangular orange fire balls in the sky,42584
7/30/16 22:30,St. Germain,WI,Triangle,4 seconds,2 diamond shape objects streak across the sky in a perfect line.,42584
7/29/16 22:35,Reardan,WA,Triangle,2 seconds,Large bright golden triangle moving rapidly from west to east near zenith then suddenly vanishes. ((anonymous report)),42584
7/29/16 22:20,Bainbridge Island,WA,Triangle,4 minutes,Triangle shape object with lights flew at very high speed across sky and stopped to descend,42584
7/29/16 16:53,Charlotte,NC,Triangle,25 seconds,"Triangle Shape In Downtown Charlotte. ((NUFORC Note: Lens flare, from photographing a bright reflection. PD))",42586
7/29/16 02:30,Grants Pass,OR,Triangle,1 hour,Hovering craft with lights at each end.,42584
7/28/16 23:00,Canon City,CO,Triangle,10 minutes,"After a series of lightning storms, about twenty minutes after the clouds cleared we saw what appeared to be a very bright and then pul",42584
7/28/16 06:18,Aliso Viejo,CA,Triangle,45 seconds,"Pacific Park to Aliso Creek saw three yellow, orange lights. In triangular formation the two lower lights jones the brighter,larger ape",42584
7/28/16 01:00,Hurst,TX,Triangle,1 minute,"Black triangle, sighted in middle of the day.",42611
