,  Location,     Time,     Truth
2086,   MIDWEST,    NIGHT,  FIREBALL
2087,      WEST,    NIGHT,  FIREBALL
2088,   MIDWEST,    NIGHT,  FIREBALL
2089,      WEST,    NIGHT,  FIREBALL
2090,      WEST,    NIGHT,  FIREBALL
2091,      WEST,  MORNING,  FIREBALL
2092, NORTHWEST,    NIGHT,  FIREBALL
2093,   MIDWEST,    NIGHT,  FIREBALL
2094,   MIDWEST,    NIGHT,  FIREBALL
2095,   MIDWEST,    NIGHT,  FIREBALL
2096, NORTHWEST,    NIGHT,  FIREBALL
2097,   MIDWEST,    NIGHT,  FIREBALL
2098,   MIDWEST,    NIGHT,  FIREBALL
2099, NORTHWEST,    NIGHT,  FIREBALL
2100,     SOUTH,    NIGHT,  FIREBALL
2101,      WEST,  MORNING,  FIREBALL
2102,     SOUTH,    NIGHT,  FIREBALL
2103, NORTHWEST,    NIGHT,  FIREBALL
2104,      WEST,    NIGHT,  FIREBALL
2105, NORTHWEST,    NIGHT,  FIREBALL
2106, NORTHWEST,    NIGHT,  FIREBALL
2107, NORTHWEST,    NIGHT,  FIREBALL
2108, NORTHWEST,    NIGHT,  FIREBALL
2109,     SOUTH,    NIGHT,  FIREBALL
2110,   MIDWEST,    NIGHT,  FIREBALL
2111,     SOUTH,    NIGHT,  FIREBALL
2112,     SOUTH,    NIGHT,  FIREBALL
2113,     SOUTH,    NIGHT,  FIREBALL
2114,     SOUTH,    NIGHT,  FIREBALL
2115,      WEST,    NIGHT,  FIREBALL
2116,     SOUTH,    NIGHT,  FIREBALL
2117,   MIDWEST,    NIGHT,  FIREBALL
2118,      WEST,    NIGHT,  FIREBALL
2119,      WEST,    NIGHT,  FIREBALL
2120, NORTHWEST,    NIGHT,  FIREBALL
2121,   MIDWEST,    NIGHT,  FIREBALL
2122,   MIDWEST,  MORNING,  FIREBALL
2123,     SOUTH,  MORNING,  FIREBALL
2124,     SOUTH,    NIGHT,  FIREBALL
2125, NORTHWEST,    NIGHT,  FIREBALL
2126, NORTHWEST,    NIGHT,  FIREBALL
2127,      WEST,    NIGHT,  FIREBALL
2128,      WEST,    NIGHT,  FIREBALL
2129,      WEST,    NIGHT,  FIREBALL
2130,   MIDWEST,    NIGHT,  FIREBALL
2131,   MIDWEST,    NIGHT,  FIREBALL
2132,      WEST,    NIGHT,  FIREBALL
2133,   MIDWEST,    NIGHT,  FIREBALL
2134,   MIDWEST,    NIGHT,  FIREBALL
2135,     SOUTH,    NIGHT,  FIREBALL
2136, NORTHWEST,    NIGHT,  FIREBALL
2137, NORTHWEST,    NIGHT,  FIREBALL
2138, NORTHWEST,    NIGHT,  FIREBALL
2139, NORTHWEST,    NIGHT,  FIREBALL
