Date / Time,City,State,Shape,Duration,Summary,Posted
8/1/16 23:04,Florissant,MO,Fireball,20 seconds,Big bright red-orange object flying horizontally at about 5000ft-10000ft rotating slightly as it moved Northeast.,42586
7/30/16 22:50,Roseburg,OR,Fireball,.5 second,I went outside for a smoke and when i looked up to the east i saw what appeared to be either a meteor breaking thru the atmosphere but,42584
7/30/16 22:15,College Station,TX,Fireball,5 seconds,Green fireball shoots across sky before disappearing.,42586
7/30/16 21:39,Lawrence,MA,Fireball,30 seconds,T-shaped fork completely covered in fire. Kept flying at same level,42584
7/30/16 21:20,Norwalk,CA,Fireball,20 seconds,"Saw a orangish red light in the sky , thought maybe it was a helicopter or airplane that seemed to be coming in my direction , but then",42584
7/28/16 02:50,Clackamas,OR,Fireball,4-5 seconds,Huge green low flying fireball. ((anonymous report)) ((NUFORC Note: Possible meteor?? PD)),42584
7/27/16 22:45,Salt Lake City,UT,Fireball,2 minutes,10 to 15 slow traveling fireballs that faded into darkness. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 22:45,West Valley City,UT,Fireball,45 seconds,My husband and I were sitting on the front porch talking and I turned my head just to look up at the sky. At that moment a cluster of w,42584
7/27/16 22:41,Sherman Oaks,CA,Fireball,20 seconds,"Like a plane on fire with a long tail of read flames, white flames inside the red tail.((NUFORC Note: Space debris. PD))",42584
7/27/16 22:40,St. George,UT,Fireball,5 minutes,A/c speed object flying and then turns into a long fireball. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 22:37,Layton,UT,Fireball,1 minute,Slow moving meteorite or plane burning. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 22:35,West Valley City,UT,Fireball,10-20 seconds,Saw in south sky falling lights. Looked like a firework but was moving horiz. W to E. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 22:00,Santa Clarita,CA,Fireball,30 seconds,"Patrons, at a park saw an object resembling a crashing, burning, plane, or rocket, or meteorite. ((NUFORC Note: Space debris. PD))",42584
